product_name,brands,nutriscore_grade,nova_group,energy-kcal_100g,sugars_100g,sodium_100g,saturated-fat_100g,fat_100g,carbohydrates_100g,proteins_100g,fiber_100g,additives_n,url,pnns_groups_1,pnns_groups_2,ID_Match
Salchicha para asar sabor tocino,Kir,unknown,,182.291666666667,0.104166668218871,,0.625000024835269,11.8749996026357,10.4166666666667,8.64583353201548,0.312500012417634,,http://world-en.openfoodfacts.org/product/7501147515073/salchicha-para-asar-sabor-tocino-kir,unknown,unknown,SALCHICHA PARA ASAR SABOR TOCINO | KIR
7501147522118,KIR,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501147522118/7501147522118-kir,unknown,unknown,7501147522118 | KIR
Kir Virginia de Pavo,Qualitia,d,4.0,115.7,0.2,0.8793,1.5,4.5,7.1,11.7,,4.0,http://world-en.openfoodfacts.org/product/7501147535194/kir-virginia-de-pavo-qualitia,Fish Meat Eggs,Processed meat,KIR VIRGINIA DE PAVO | QUALITIA
Croissant New York Roll,Kirlunch melts,unknown,,496.3,4.4,,6.0,14.8,25.9,8.6,0.5,,http://world-en.openfoodfacts.org/product/7501147586592/croissant-new-york-roll-kirlunch-melts,unknown,unknown,CROISSANT NEW YORK ROLL | KIRLUNCH MELTS
Pay De Queso Tortuga,Piattino,unknown,,367.6,23.7,0.18,14.9,22.8,36.6,4.0,0.8,,http://world-en.openfoodfacts.org/product/7501147589845/pay-de-queso-tortuga-piattino,unknown,unknown,PAY DE QUESO TORTUGA | PIATTINO
Tequila,Siete Leguas,not-applicable,,,,,,,,,,0.0,http://world-en.openfoodfacts.org/product/7501151075020/tequila-siete-leguas,Alcoholic beverages,Alcoholic beverages,TEQUILA | SIETE LEGUAS
yogurt bebible,san marcos,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501158400085/yogurt-bebible-san-marcos,unknown,unknown,YOGURT BEBIBLE | SAN MARCOS
yoghurt para beber sabor a fresa cereales,Granga,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501158400108/yoghurt-para-beber-sabor-a-fresa-cereales-granga,unknown,unknown,YOGHURT PARA BEBER SABOR A FRESA CEREALES | GRANGA
Auténtica Leche Deslactosada De Vaca,Leche Granja,unknown,,45.0,4.8,0.05,1.0,1.6,4.8,3.1,,,http://world-en.openfoodfacts.org/product/7501158400290/autentica-leche-deslactosada-de-vaca-leche-granja,unknown,unknown,AUTÉNTICA LECHE DESLACTOSADA DE VACA | LECHE GRANJA
Leche de vaca semidescremada ultrapasteurizada,"granja, San Marcos",b,,45.0,4.8,0.05,1.0,1.6,4.8,3.1,0.0,0.0,http://world-en.openfoodfacts.org/product/7501158400306/leche-de-vaca-semidescremada-ultrapasteurizada-granja,Milk and dairy products,Milk and yogurt,"LECHE DE VACA SEMIDESCREMADA ULTRAPASTEURIZADA | GRANJA, SAN MARCOS"
Crema pasteurizada,san mar os,unknown,,,,,,,,,,,http://world-en.openfoodfacts.org/product/7501158414297/crema-pasteurizada-san-mar-os,unknown,unknown,CREMA PASTEURIZADA | SAN MAR OS
Media crema San Marcos,San Marcos,d,4.0,220.0,5.3,0.09652,11.4,20.33,5.4,2.8,0.0,2.0,http://world-en.openfoodfacts.org/product/7501158414310/media-crema-san-marcos,Sugary snacks,Sweets,MEDIA CREMA SAN MARCOS | SAN MARCOS
